date,Primary_Industry_Code,medoid
2002,Plastic Containers & Packaging,11288-71
2002,Wood/Hard Products,11300-68
2002,Aquaculture,11312-92
2002,Entertainment Software,56752-21
2002,Cultivation,11327-32
2002,Industrial Chemicals,11328-58
2002,Marine,51020-65
2002,Multi-line Insurance,11333-44
2002,Other Textiles,11334-61
2002,Office Services (B2B),11605-96
2002,Other Consumer Durables,12697-75
2002,Other Energy,41771-53
2002,Commercial/Professional Insurance,42384-25
2002,Energy Storage,52166-62
2002,Regional Banks,51257-26
2002,Oil and Gas Equipment,52153-84
2002,Distributors/Wholesale (B2C),53539-21
2002,Other Hardware,53622-55
2002,Other Agriculture,53664-31
2002,Other Equipment,61211-89
2002,Home Furnishings,65738-17
2003,Drug Discovery,11204-83
2003,Other Communications and Networking,11155-42
2003,Other Information Technology,52200-28
2003,Pharmaceuticals,10228-51
2003,Therapeutic Devices,11133-37
2003,Discovery Tools (Healthcare),11132-92
2003,Electronics (B2C),11140-30
2003,Other Semiconductors,11203-03
2003,Application Software,11116-09
2003,Application Specific Semiconductors,11201-23
2003,Automation/Workflow Software,11121-49
2003,"Broadcasting, Radio and Television",10563-22
2003,"Computers, Parts and Peripherals",11167-93
2003,Connectivity Products,11150-29
2003,Database Software,11137-87
2003,Entertainment Software,11184-40
2003,Environmental Services (B2B),11140-12
2003,General Purpose Semiconductors,11199-52
2003,Logistics,11274-40
2003,Network Management Software,10353-97
2003,Systems and Information Management,11110-96
2003,Telecommunications Service Providers,11151-19
2003,IT Consulting and Outsourcing,11291-32
2003,Thrifts and Mortgage Finance,10060-57
2003,Electronic Components,11128-33
2003,Electronic Equipment and Instruments,11269-99
2003,Other Commercial Services,11110-60
2003,Business/Productivity Software,11182-96
2003,Clinics/Outpatient Services,10070-83
2003,Communication Software,11260-63
2003,Internet Service Providers,54521-47
2003,Production (Semiconductors),11107-45
2003,Wireless Communications Equipment,11129-32
2003,Machinery (B2B),11322-55
2003,Managed Care,10077-85
2003,Media and Information Services (B2B),11120-32
2003,Monitoring Equipment,11097-01
2003,Medical Supplies,10660-69
2003,Electrical Equipment,10454-68
2003,Multimedia and Design Software,11128-69
2003,Storage (IT),10985-23
2003,Wireless Service Providers,11111-23
2003,Security Services (B2B),11160-28
2003,Social/Platform Software,11113-84
2003,Software Development Applications,12749-50
2003,Financial Software,11158-12
2003,Human Capital Services,11160-37
2003,Other Devices and Supplies,11162-44
2003,Other IT Services,11167-03
2003,Vertical Market Software,11199-97
2003,Consulting Services (B2B),11127-34
2003,Internet Retail,11260-18
2003,Specialty Retail,11198-35
2003,Building Products,60924-16
2003,Other Software,11107-63
2003,Education and Training Services (B2B),10155-07
2003,Biotechnology,11136-34
2003,Multi-line Chemicals,10156-69
2003,Fiberoptic Equipment,10411-93
2003,Other Commercial Products,11147-77
2003,Surgical Devices,11111-05
2003,Office Electronics,10195-75
2003,Food Products,10215-55
2003,Printing Services (B2B),11179-63
2003,Diagnostic Equipment,11239-93
2003,Laboratory Services (Healthcare),121282-57
2003,Agricultural Chemicals,10630-27
2003,"Movies, Music and Entertainment",11120-41
2003,Industrial Chemicals,10416-88
2003,Information Services (B2C),11285-02
2003,Distributors (Healthcare),10458-73
2003,Cable Service Providers,11165-68
2003,Other Hardware,10618-12
2003,Water Utilities,40451-14
2003,Educational and Training Services (B2C),11114-56
2003,Other Healthcare,11110-78
2003,Publishing,52559-83
2003,Internet Software,108253-18
2003,Other Healthcare Technology Systems,11297-17
2003,Plastic Containers & Packaging,10914-67
2003,Leisure Facilities,10948-78
2003,Drug Delivery,11231-38
2003,Distributors/Wholesale,224498-17
2003,Practice Management (Healthcare),11104-57
2003,Other Financial Services,11105-74
2003,Other Services (B2C Non-Financial),11106-73
2003,Enterprise Systems (Healthcare),11217-25
2003,Life and Health Insurance,11110-33
2003,Air,11110-42
2003,Energy Exploration,11110-87
2003,Other Energy Services,11110-87
2003,Specialized Finance,14632-93
2003,Other Equipment,11112-31
2003,Other Consumer Products and Services,11129-59
2003,Other Pharmaceuticals and Biotechnology,53411-68
2003,Other Agriculture,11118-25
2003,Legal Services (B2B),11118-79
2003,Energy Transportation,11119-69
2003,Specialty Chemicals,11258-29
2003,Aerospace and Defense,11289-25
2003,BPO/Outsource Services,11316-25
2003,Elder and Disabled Care,11126-89
2003,Consumer Finance,11178-37
2003,Asset Management,12621-34
2003,Other Apparel,11127-88
2003,Other Commercial Banks,11132-20
2003,Alternative Energy Equipment,11158-57
2003,Other Healthcare Services,11164-15
2003,Medical Records Systems,11160-10
2003,Energy Refining,11143-54
2003,Energy Production,163235-08
2003,Energy Storage,11156-32
2003,Hospitals/Inpatient Services,11158-48
2003,Other Consumer Durables,50913-46
2003,Recreational Goods,42775-48
2003,Social Content,11166-58
2003,Industrial Supplies and Parts,41009-86
2003,Household Appliances,47291-95
2003,Forestry Development/Harvesting,11188-90
2003,Business Equipment and Supplies,11201-95
2003,Decision/Risk Analysis,11338-84
2003,Other Business Products and Services,11244-34
2003,"Accounting, Audit and Tax Services (B2B)",11248-21
2003,Educational Software,11286-01
2003,Other Energy,11271-79
2003,Real Estate Services (B2C),11278-45
2003,Catalog Retail,11304-73
2003,Automotive,11326-60
2003,Cultivation,11327-32
2003,Horticulture,55907-38
2003,Holding Companies,41762-98
2003,Other Insurance,42384-25
2003,Restaurants and Bars,44792-56
2003,Brokerage,52272-28
2003,"Other Metals, Minerals and Mining",52357-78
2003,Real Estate Investment Trusts (REITs),52925-23
2003,Construction and Engineering,56613-43
2003,Beverages,65813-23
2004,Application Software,10948-78
2004,Application Specific Semiconductors,11265-31
2004,Biotechnology,108183-97
2004,Consulting Services (B2B),120887-65
2004,Drug Delivery,42305-95
2004,Drug Discovery,11153-44
2004,Other Commercial Products,11161-27
2004,Other Commercial Services,11194-30
2004,Automation/Workflow Software,11196-19
2004,Network Management Software,11117-44
2004,Therapeutic Devices,11148-94
2004,Surgical Devices,11158-39
2004,Business/Productivity Software,10388-53
2004,Connectivity Products,11137-69
2004,Electronic Components,11122-21
2004,Financial Software,11113-03
2004,General Purpose Semiconductors,10382-41
2004,Other Communications and Networking,111357-01
2004,Security Services (B2B),11456-83
2004,Telecommunications Service Providers,11119-69
2004,Vertical Market Software,11115-64
2004,Database Software,11110-06
2004,Logistics,14784-13
2004,Other Financial Services,10449-01
2004,Electronic Equipment and Instruments,10594-72
2004,Information Services (B2C),11156-59
2004,Software Development Applications,52744-87
2004,Alternative Energy Equipment,10618-12
2004,Communication Software,11126-17
2004,Electrical Equipment,11223-55
2004,Enterprise Systems (Healthcare),11168-92
2004,IT Consulting and Outsourcing,56226-79
2004,Laboratory Services (Healthcare),11291-32
2004,Other Healthcare Services,11164-15
2004,Other Services (B2C Non-Financial),53564-68
2004,Wireless Communications Equipment,107627-50
2004,Wireless Service Providers,11230-12
2004,BPO/Outsource Services,11193-76
2004,Human Capital Services,10263-16
2004,Multimedia and Design Software,11138-77
2004,Systems and Information Management,11111-23
2004,Pharmaceuticals,11140-03
2004,Other Software,11202-04
2004,Production (Semiconductors),52372-18
2004,Social/Platform Software,11304-73
2004,Storage (IT),11336-77
2004,"Broadcasting, Radio and Television",11208-16
2004,Industrial Supplies and Parts,11174-14
2004,Internet Software,11306-62
2004,Media and Information Services (B2B),11107-90
2004,"Accounting, Audit and Tax Services (B2B)",11260-18
2004,Decision/Risk Analysis,11159-29
2004,Other Hardware,11170-63
2004,Consumer Finance,11275-75
2004,Publishing,10281-70
2004,Elder and Disabled Care,11126-89
2004,Fiberoptic Equipment,11122-48
2004,Internet Service Providers,42283-18
2004,Operating Systems Software,54345-25
2004,Other Semiconductors,11188-27
2004,"Computers, Parts and Peripherals",109340-20
2004,Construction and Engineering,56040-58
2004,Diagnostic Equipment,11111-41
2004,Other Information Technology,11157-94
2004,Other IT Services,11169-73
2004,Internet Retail,10155-07
2004,Aerospace and Defense,52326-01
2004,Educational Software,11263-78
2004,Food Products,106900-39
2004,Other Consumer Durables,10215-73
2004,Managed Care,10228-51
2004,Medical Supplies,11238-04
2004,Monitoring Equipment,11296-90
2004,Personal Products,10241-02
2004,Machinery (B2B),111257-20
2004,Medical Records Systems,159905-98
2004,Accessories,50906-26
2004,Brokerage,10271-98
2004,Educational and Training Services (B2C),60901-93
2004,Social Content,11191-87
2004,Casinos and Gaming,10306-18
2004,Other Consumer Non-Durables,10335-25
2004,Discovery Tools (Healthcare),11177-02
2004,Electronics (B2C),11106-19
2004,Other Healthcare Technology Systems,11151-10
2004,Entertainment Software,11184-40
2004,"Other Restaurants, Hotels and Leisure",10563-22
2004,Life and Health Insurance,10639-63
2004,Other Equipment,41021-92
2004,Restaurants and Bars,10675-72
2004,Air,10754-47
2004,"Movies, Music and Entertainment",11323-90
2004,Other Devices and Supplies,11208-34
2004,Clothing,56271-25
2004,Cable Service Providers,53460-37
2004,Energy Marketing,11110-87
2004,Specialized Finance,11111-68
2004,Business Equipment and Supplies,11111-86
2004,Beverages,11194-39
2004,Other Business Products and Services,11289-79
2004,Recreational Goods,53421-49
2004,Water Utilities,11115-01
2004,Other Retail,112168-45
2004,Other Pharmaceuticals and Biotechnology,11132-92
2004,Agricultural Chemicals,11984-32
2004,Leisure Facilities,11195-56
2004,Specialty Retail,11167-03
2004,Asset Management,11133-01
2004,Distributors/Wholesale,11134-90
2004,Other Insurance,11135-71
2004,Insurance Brokers,11143-54
2004,Energy Storage,52947-10
2004,Other Energy Services,11155-51
2004,Industrial Chemicals,11156-32
2004,Legal Services (B2B),11157-76
2004,Oil and Gas Equipment,11307-52
2004,Clinics/Outpatient Services,11266-84
2004,Energy Production,51099-22
2004,Printing Services (B2B),11172-61
2004,Automotive,51730-30
2004,Other Transportation,11175-94
2004,Other Capital Markets/Institutions,11181-34
2004,Specialty Chemicals,11193-40
2004,Office Services (B2B),53512-30
2004,Electric Utilities,11218-51
2004,Other Media,11237-50
2004,Other Chemicals and Gases,11250-10
2004,Practice Management (Healthcare),55695-25
2004,Building Products,12686-41
2004,Education and Training Services (B2B),11261-98
2004,Hospitals/Inpatient Services,11278-36
2004,Other Containers and Packaging,11328-49
2004,Distributors/Wholesale (B2C),11286-28
2004,Energy Exploration,11290-87
2004,Household Appliances,11295-82
2004,Home Furnishings,11301-49
2004,Real Estate Services (B2C),56595-16
2004,Other Healthcare,11304-28
2004,Automotive Insurance,11305-45
2004,Other Consumer Products and Services,11306-71
2004,Cultivation,54741-88
2004,Other Agriculture,11338-03
2004,Paper/Soft Products,40451-14
2004,Horticulture,53999-38
2004,Holding Companies,42427-09
2004,"Other Metals, Minerals and Mining",42465-43
2004,Environmental Services (B2B),44791-39
2004,Other Commercial Banks,58591-90
2005,Application Specific Semiconductors,11150-29
2005,Biotechnology,10420-66
2005,"Computers, Parts and Peripherals",11314-45
2005,Drug Discovery,10522-18
2005,Other Healthcare Technology Systems,52991-29
2005,Business/Productivity Software,10524-79
2005,Electronics (B2C),11106-19
2005,Other Commercial Services,11124-91
2005,Other Semiconductors,10022-14
2005,Alternative Energy Equipment,11113-84
2005,Application Software,10745-11
2005,Automation/Workflow Software,11107-45
2005,"Broadcasting, Radio and Television",11149-30
2005,Connectivity Products,109500-58
2005,Database Software,51653-62
2005,Entertainment Software,11184-40
2005,General Purpose Semiconductors,11169-46
2005,Logistics,11181-70
2005,"Movies, Music and Entertainment",11286-28
2005,Other Communications and Networking,10634-77
2005,Other Consumer Durables,10052-20
2005,Other Hardware,11174-14
2005,Other Healthcare Services,11137-42
2005,Systems and Information Management,11159-29
2005,Vertical Market Software,11112-58
2005,Asset Management,10060-57
2005,Electronic Components,11150-11
2005,Electronic Equipment and Instruments,11178-46
2005,Network Management Software,11117-44
2005,Other IT Services,11260-18
2005,Publishing,110331-10
2005,Clothing,57987-37
2005,Communication Software,11151-28
2005,Electrical Equipment,11119-15
2005,Fiberoptic Equipment,11188-27
2005,Media and Information Services (B2B),10948-78
2005,Other Business Products and Services,51524-47
2005,Wireless Communications Equipment,11127-07
2005,Internet Software,53967-52
2005,IT Consulting and Outsourcing,11711-17
2005,Multimedia and Design Software,11550-52
2005,Recreational Goods,10077-85
2005,Wireless Service Providers,170795-08
2005,Other Software,10102-42
2005,Restaurants and Bars,10103-41
2005,Environmental Services (B2B),10640-26
2005,Monitoring Equipment,11266-39
2005,Other Capital Markets/Institutions,10109-26
2005,Pharmaceuticals,10883-44
2005,Social Content,10109-26
2005,Storage (IT),41747-05
2005,Internet Retail,11301-31
2005,Security Services (B2B),10581-94
2005,Software Development Applications,11115-73
2005,Drug Delivery,11119-69
2005,Financial Software,11175-49
2005,Hotels and Resorts,10134-73
2005,Information Services (B2C),11241-19
2005,Internet Service Providers,52765-57
2005,Production (Semiconductors),53975-26
2005,Social/Platform Software,11181-34
2005,Brokerage,10135-81
2005,Consulting Services (B2B),53512-30
2005,Consumer Finance,56516-41
2005,Educational Software,42134-05
2005,Medical Records Systems,50993-92
2005,Real Estate Services (B2C),14146-84
2005,Surgical Devices,11222-02
2005,BPO/Outsource Services,40118-05
2005,Practice Management (Healthcare),10155-07
2005,Multi-line Chemicals,10156-69
2005,Other Commercial Products,11169-73
2005,Aerospace and Defense,11336-05
2005,Other Devices and Supplies,51480-28
2005,Telecommunications Service Providers,11238-76
2005,Therapeutic Devices,11160-55
2005,Office Electronics,10195-75
2005,Food Products,52714-81
2005,Diagnostic Equipment,11218-51
2005,Other Consumer Non-Durables,11196-73
2005,Printing Services (B2B),52806-34
2005,Laboratory Services (Healthcare),11312-38
2005,Other Chemicals and Gases,10381-24
2005,Precious Metals and Minerals Mining,10381-24
2005,National Banks,10405-45
2005,Discovery Tools (Healthcare),51038-29
2005,Educational and Training Services (B2C),12429-28
2005,Industrial Supplies and Parts,40380-22
2005,Insurance Brokers,10458-73
2005,Clinics/Outpatient Services,11294-92
2005,Leisure Facilities,112168-45
2005,"Other Restaurants, Hotels and Leisure",56786-32
2005,Water Utilities,10618-12
2005,Business Equipment and Supplies,10630-27
2005,Life and Health Insurance,11235-16
2005,Other Healthcare,43117-48
2005,Other Equipment,11175-94
2005,Other Financial Services,40849-84
2005,Construction and Engineering,11958-04
2005,Hospitals/Inpatient Services,11104-03
2005,Cable Service Providers,11248-12
2005,Beverages,167221-81
2005,Other Information Technology,11200-69
2005,Holding Companies,11108-17
2005,Specialty Retail,55789-12
2005,Automotive,43058-08
2005,Energy Exploration,226941-67
2005,Enterprise Systems (Healthcare),11165-68
2005,Other Consumer Products and Services,11114-47
2005,"Other Metals, Minerals and Mining",11114-92
2005,Other Pharmaceuticals and Biotechnology,11266-03
2005,Building Products,60901-93
2005,Decision/Risk Analysis,11118-79
2005,Energy Production,25255-63
2005,Other Services (B2C Non-Financial),11135-35
2005,Specialty Chemicals,11278-27
2005,Human Capital Services,11198-62
2005,"Accounting, Audit and Tax Services (B2B)",11132-38
2005,Distributors/Wholesale,119667-97
2005,Legal Services (B2B),11133-01
2005,Agricultural Chemicals,11134-81
2005,Medical Supplies,11188-63
2005,Office Services (B2B),11136-16
2005,Other Energy,11141-38
2005,Distributors (Healthcare),11147-05
2005,Machinery (B2B),123178-15
2005,Energy Storage,11156-32
2005,Specialized Finance,11156-41
2005,Home Furnishings,11166-58
2005,Other Media,54221-68
2005,Personal Products,11170-81
2005,Buildings and Property,11208-79
2005,Cultivation,11216-53
2005,Aluminum Mining,11220-04
2005,Other Agriculture,11225-44
2005,Education and Training Services (B2B),91701-10
2005,Air,11237-68
2005,Managed Care,11456-92
2005,Synthetic Textiles,11253-88
2005,Elder and Disabled Care,11278-00
2005,Automotive Insurance,11305-45
2005,Operating Systems Software,55460-08
2005,Plastic Containers & Packaging,11326-24
2005,Other Energy Services,11329-12
2005,Coal and Consumable Fuels Equipment,161815-69
2005,Industrial Chemicals,152170-84
2005,Energy Infrastructure,158788-36
2005,Energy Transportation,161443-45
2005,Horticulture,40822-84
2005,Investment Banks,41693-68
2005,Thrifts and Mortgage Finance,42340-15
2005,Oil and Gas Equipment,54172-63
2005,Forestry Development/Harvesting,52697-53
2005,Energy Refining,52753-96
2005,Commodity Chemicals,53366-41
2005,Animal Husbandry,54742-51
2005,Aquaculture,54944-83
2005,Catalog Retail,55123-21
2005,Other Materials,56151-28
2005,Paper Containers & Packaging,60096-88
2006,Laboratory Services (Healthcare),100035-19
2006,Application Software,11147-68
2006,Biotechnology,10884-43
2006,Drug Delivery,11140-84
2006,Drug Discovery,10884-34
2006,Media and Information Services (B2B),111065-23
2006,Other Commercial Services,11200-42
2006,Other Information Technology,40845-43
2006,Publishing,10411-93
2006,Automation/Workflow Software,11274-67
2006,Consulting Services (B2B),11177-02
2006,Electronic Components,11157-58
2006,Enterprise Systems (Healthcare),11302-84
2006,Medical Supplies,11322-55
2006,Industrial Supplies and Parts,100470-79
2006,Aerospace and Defense,10052-20
2006,Business/Productivity Software,10660-69
2006,Connectivity Products,100761-31
2006,Elder and Disabled Care,11120-32
2006,Energy Storage,61508-98
2006,Environmental Services (B2B),10640-26
2006,Financial Software,11251-27
2006,General Purpose Semiconductors,11156-95
2006,Information Services (B2C),11263-15
2006,Internet Service Providers,11275-75
2006,Logistics,11122-48
2006,Other Commercial Products,11147-77
2006,Other Consumer Durables,11028-16
2006,Other Healthcare Services,11193-49
2006,Systems and Information Management,11310-85
2006,Vertical Market Software,11112-58
2006,Database Software,11150-29
2006,Other IT Services,100644-04
2006,Software Development Applications,42861-25
2006,Alternative Energy Equipment,11237-14
2006,Application Specific Semiconductors,11107-45
2006,Cable Service Providers,42906-61
2006,Clothing,57987-37
2006,Electrical Equipment,11163-70
2006,Fiberoptic Equipment,11251-09
2006,Internet Retail,11304-73
2006,Internet Software,51573-16
2006,"Movies, Music and Entertainment",11215-72
2006,Multimedia and Design Software,10357-03
2006,Network Management Software,10353-97
2006,Other Communications and Networking,11130-04
2006,Other Software,51505-39
2006,Social/Platform Software,11157-76
2006,Therapeutic Devices,11194-48
2006,Wireless Communications Equipment,11115-19
2006,Communication Software,109500-58
2006,Automotive,10630-27
2006,Brokerage,10109-26
2006,Construction and Engineering,40823-29
2006,Electronic Equipment and Instruments,11326-15
2006,Electronics (B2C),11140-30
2006,Social Content,42771-34
2006,Storage (IT),163274-95
2006,Surgical Devices,10339-93
2006,Entertainment Software,11117-44
2006,Other Business Products and Services,10524-79
2006,"Accounting, Audit and Tax Services (B2B)",10133-20
2006,Industrial Chemicals,51257-26
2006,Specialized Finance,14632-93
2006,Energy Production,11227-60
2006,Food Products,109332-64
2006,IT Consulting and Outsourcing,11232-55
2006,Other Devices and Supplies,42833-98
2006,Other Financial Services,11290-78
2006,Production (Semiconductors),11311-75
2006,Wireless Service Providers,11166-40
2006,Consumer Finance,109611-01
2006,Other Capital Markets/Institutions,55787-59
2006,Specialty Retail,10139-41
2006,"Broadcasting, Radio and Television",11164-15
2006,Clinics/Outpatient Services,10481-32
2006,"Computers, Parts and Peripherals",43011-19
2006,Other Semiconductors,11183-68
2006,Personal Products,11307-07
2006,Real Estate Services (B2C),56199-52
2006,Telecommunications Service Providers,51446-26
2006,Coal and Consumable Fuels Equipment,10156-69
2006,Other Hardware,122063-50
2006,Pharmaceuticals,10522-18
2006,Office Electronics,42925-33
2006,Asset Management,54173-98
2006,Other Healthcare Technology Systems,54247-06
2006,Energy Exploration,11158-12
2006,Restaurants and Bars,115260-76
2006,Holding Companies,58215-70
2006,Diagnostic Equipment,10449-01
2006,Monitoring Equipment,11110-60
2006,Other Pharmaceuticals and Biotechnology,168672-52
2006,Specialty Chemicals,11252-17
2006,"Other Metals, Minerals and Mining",10381-24
2006,Recreational Goods,10388-53
2006,Beverages,53803-99
2006,BPO/Outsource Services,11178-46
2006,Discovery Tools (Healthcare),14777-20
2006,Oil and Gas Equipment,14162-32
2006,Human Capital Services,11263-78
2006,Re-Insurance,10458-73
2006,Operating Systems Software,10521-46
2006,Security Services (B2B),41706-10
2006,Leisure Facilities,63245-44
2006,Machinery (B2B),11198-98
2006,Electric Utilities,10804-33
2006,Road,13458-97
2006,Legal Services (B2B),11104-57
2006,Distributors/Wholesale,11200-69
2006,Other Media,54204-94
2006,Other Energy Services,54041-86
2006,Educational Software,11111-59
2006,Other Healthcare,52959-43
2006,Agricultural Chemicals,11115-01
2006,Other Materials,11115-46
2006,Building Products,11254-96
2006,Animal Husbandry,161030-62
2006,Other Services (B2C Non-Financial),56769-67
2006,Other Equipment,11128-33
2006,Home Furnishings,57314-80
2006,Accessories,11216-80
2006,Legal Services (B2C),11133-01
2006,Educational and Training Services (B2C),54808-30
2006,Other Forestry,11143-54
2006,Private Equity,61094-53
2006,Other Consumer Products and Services,11158-57
2006,Other Containers and Packaging,11163-88
2006,Raw Materials (Non-Wood),87895-09
2006,Medical Records Systems,11168-38
2006,"Other Restaurants, Hotels and Leisure",11170-81
2006,Other Transportation,11175-94
2006,Printing Services (B2B),11274-22
2006,Practice Management (Healthcare),52195-24
2006,Other Agriculture,52324-12
2006,Distributors (Healthcare),11192-41
2006,Life and Health Insurance,167489-20
2006,Distributors/Wholesale (B2C),11212-12
2006,Cultivation,60224-50
2006,Water Utilities,39895-30
2006,Air,11781-73
2006,Hotels and Resorts,11238-04
2006,Precious Metals and Minerals Mining,11239-12
2006,Footwear,11240-38
2006,Property and Casualty Insurance,52589-98
2006,Plastic Containers & Packaging,11288-71
2006,Other Retail,11295-10
2006,Other Insurance,11303-11
2006,Aquaculture,57296-08
2006,Household Appliances,11318-05
2006,Education and Training Services (B2B),11338-03
2006,General Merchandise Stores,52947-19
2006,Other Chemicals and Gases,57305-08
2006,Hospitals/Inpatient Services,224498-17
2006,Managed Care,54127-63
2006,Decision/Risk Analysis,42300-10
2006,Energy Traders and Brokers,51781-42
2006,Commodity Chemicals,53290-90
2006,Wood/Hard Products,58006-54
2006,Casinos and Gaming,54942-40
2006,Marine,55802-35
2006,Investment Banks,56780-92
2006,Paper Containers & Packaging,60345-46
2006,Energy Infrastructure,64340-74
2007,Energy Production,100105-93
2007,Application Specific Semiconductors,11230-12
2007,Biotechnology,100470-79
2007,"Computers, Parts and Peripherals",109340-20
2007,Distributors/Wholesale,167647-87
2007,Other Commercial Services,10103-41
2007,Surgical Devices,11190-25
2007,Systems and Information Management,11196-73
2007,Business/Productivity Software,11105-65
2007,Communication Software,11199-97
2007,Drug Discovery,11154-43
2007,Electronic Equipment and Instruments,11170-36
2007,Enterprise Systems (Healthcare),11297-44
2007,Internet Software,51253-84
2007,Network Management Software,107033-14
2007,Other Healthcare Technology Systems,61211-89
2007,Other Semiconductors,11159-29
2007,Other Software,11106-01
2007,Aerospace and Defense,52173-28
2007,Alternative Energy Equipment,10398-97
2007,Application Software,10532-80
2007,Asset Management,53281-27
2007,Cable Service Providers,42252-85
2007,Connectivity Products,11115-64
2007,Entertainment Software,11175-49
2007,Fiberoptic Equipment,11211-94
2007,Financial Software,11172-43
2007,General Purpose Semiconductors,11220-31
2007,Internet Service Providers,168558-13
2007,Other Financial Services,42968-17
2007,Other Services (B2C Non-Financial),11135-35
2007,Security Services (B2B),11252-26
2007,Social Content,11260-09
2007,Storage (IT),11116-00
2007,Telecommunications Service Providers,11273-86
2007,Water Utilities,11233-54
2007,Wireless Communications Equipment,111357-01
2007,IT Consulting and Outsourcing,10060-57
2007,Electronic Components,11183-68
2007,Electronics (B2C),11186-92
2007,Media and Information Services (B2B),11276-29
2007,Printing Services (B2B),10068-04
2007,Beverages,50906-26
2007,Clothing,55502-65
2007,Database Software,11158-30
2007,Electrical Equipment,11124-91
2007,Internet Retail,14533-66
2007,Other Business Products and Services,55516-87
2007,Other Communications and Networking,11203-03
2007,Other Healthcare Services,11258-29
2007,Other Materials,51756-04
2007,Other Media,11237-50
2007,Pharmaceuticals,11137-87
2007,Social/Platform Software,108358-57
2007,Construction and Engineering,42134-05
2007,Information Services (B2C),111727-99
2007,"Movies, Music and Entertainment",124942-24
2007,Vertical Market Software,11137-69
2007,Wireless Service Providers,11392-75
2007,Automation/Workflow Software,11121-49
2007,Automotive,157001-05
2007,Educational Software,10388-53
2007,Energy Storage,52575-67
2007,Industrial Chemicals,11248-21
2007,Other Consumer Durables,119020-51
2007,Private Equity,11302-84
2007,Publishing,50987-89
2007,Road,11127-88
2007,Industrial Supplies and Parts,11211-76
2007,Multimedia and Design Software,11114-92
2007,"Broadcasting, Radio and Television",11185-84
2007,Energy Refining,40389-49
2007,Educational and Training Services (B2C),55505-08
2007,Machinery (B2B),51733-00
2007,Multi-line Insurance,10134-73
2007,Production (Semiconductors),11227-60
2007,Therapeutic Devices,10804-33
2007,BPO/Outsource Services,51032-62
2007,Consulting Services (B2B),11242-27
2007,Consumer Finance,109611-01
2007,Logistics,11194-30
2007,Medical Records Systems,11269-90
2007,Hotels and Resorts,11149-30
2007,Real Estate Services (B2C),10139-41
2007,Restaurants and Bars,10675-72
2007,Human Capital Services,10481-32
2007,Insurance Brokers,65937-34
2007,Other Information Technology,50893-66
2007,Building Products,57245-59
2007,Other IT Services,11105-74
2007,Software Development Applications,11303-47
2007,Other Commercial Products,11116-09
2007,Other Hardware,53740-36
2007,Food Products,11169-91
2007,Diagnostic Equipment,11147-50
2007,Discovery Tools (Healthcare),51038-29
2007,Drug Delivery,11125-18
2007,Laboratory Services (Healthcare),53369-29
2007,Medical Supplies,11158-48
2007,Personal Products,11222-02
2007,Agricultural Chemicals,52242-13
2007,Leisure Facilities,60341-23
2007,Oil and Gas Equipment,52604-65
2007,Other Devices and Supplies,52382-44
2007,Holding Companies,109480-51
2007,Plastic Containers & Packaging,11115-01
2007,Footwear,10365-13
2007,Other Pharmaceuticals and Biotechnology,42389-74
2007,"Accounting, Audit and Tax Services (B2B)",98783-56
2007,Other Commercial Banks,10405-45
2007,Clinics/Outpatient Services,54556-12
2007,Hospitals/Inpatient Services,11166-76
2007,Air,153992-26
2007,Other Equipment,11175-94
2007,Specialized Finance,11152-27
2007,Environmental Services (B2B),11141-65
2007,Practice Management (Healthcare),12075-22
2007,Education and Training Services (B2B),158804-38
2007,Specialty Retail,11114-38
2007,Monitoring Equipment,14777-02
2007,Household Products,11118-25
2007,Decision/Risk Analysis,53360-02
2007,Managed Care,52184-71
2007,Regional Banks,11201-23
2007,Elder and Disabled Care,11120-32
2007,Recreational Goods,11122-48
2007,Department Stores,11129-86
2007,Casinos and Gaming,11131-03
2007,Distributors (Healthcare),11132-20
2007,Legal Services (B2C),11133-01
2007,"Other Restaurants, Hotels and Leisure",56141-11
2007,Other Energy,42344-47
2007,Accessories,11187-82
2007,Other Agriculture,52348-42
2007,Other Forestry,11143-54
2007,Other Energy Services,11310-85
2007,Metal Containers & Packaging,52596-01
2007,"Other Metals, Minerals and Mining",52798-24
2007,Other Capital Markets/Institutions,11181-34
2007,Coal and Consumable Fuels Equipment,11186-83
2007,Energy Exploration,158788-36
2007,National Banks,11188-90
2007,Other Chemicals and Gases,11198-71
2007,Other Transportation,11204-20
2007,Legal Services (B2B),11208-43
2007,Outcome Management (Healthcare),11212-12
2007,Other Consumer Products and Services,11215-54
2007,Other Healthcare,11215-63
2007,Property and Casualty Insurance,11270-53
2007,Other Retail,52540-66
2007,Animal Husbandry,11220-67
2007,Energy Infrastructure,55954-27
2007,Wood/Hard Products,11230-66
2007,Operating Systems Software,51000-49
2007,Other Insurance,83336-23
2007,Thrifts and Mortgage Finance,11242-54
2007,Specialty Chemicals,11247-13
2007,Synthetic Textiles,11253-88
2007,Horticulture,11254-42
2007,Distributors/Wholesale (B2C),52373-26
2007,Life and Health Insurance,52385-59
2007,Gold Mining,11295-01
2007,Other Containers and Packaging,56257-39
2007,Cultivation,11330-29
2007,General Merchandise Stores,11451-61
2007,Paper Containers & Packaging,118879-84
2007,Coal Mining,13175-92
2007,Office Services (B2B),42329-53
2007,Home Furnishings,57053-80
